"grp","n.primary","n.aoic"
"afr",133921,136865
"aian",134632,144184
"asn",249714,282025
"j",61902,69961
"lat",522256,608269
"mena",31258,31258
"nhpi",37660,37837
"oth",17086,17153
"wht",3050285,3684004
